ID в ИС ГТИБД,Название,Название (англ.),Тип,Страна,Адрес,Район,Телефоны,Сайт,Электронная почта,Описание,Описание (англ.),Время работы,Доступно для лиц с ограниченными возможностями,Геопозиция,ОГРН,ИНН
4183,Литературно-мемориальный музей Ф.М. Достоевского,The F.M.Dostoevsky Literary-Memorial Museum,Городские (комитет по культуре),Россия,"191002, Санкт-Петербург, Кузнечный пер., 5/2",Центральный,"+7 (812) 571-40-31 (справки о работе музея, по будням с 11.00 до 17.00); 
+7 (921) 977-43-00 (заказ экскурсий, по будням с 11.00 до 17.00)",md.spb.ru,dostoevsky.museum@gmail.com,Литературно-мемориальный музей Ф.М.Достоевского был открыт к 150-летию со дня рождения писателя в 1971 году. В этом доме была его последняя квартира. Здесь написан роман «Братья Карамазовы».,"The Literary-Memorial Museum of F.M.Dostoevsky was opened in 1971, for the 150-year anniversary since the birth of the author. In this house was his last apartment. The novel ""Brothers Karamazov"" was written here.","пн: выходной
вт: 11.00-18.00*
ср: 13.00-20.00*
чт: 11.00-18.00*
пт: 11.00-18.00*
сб: 11.00-18.00*
вс: 11.00-18.00*

*касса закрывается за 30 мин. до закрытия музея",нет,"59.927216,30.350947",1027809232362.0,7825705438.0
4184,Институт русской литературы (Пушкинский дом) Российской академии наук. Литературный музей,Institute of Russian Literature (the Pushkin House),федеральные (ведомственные),Россия,"199034, Санкт-Петербург, наб. Макарова, 4",Василеостровский,"+7(812) 328-19-01, +7 (911) 289-17-02",pushkinskijdom.ru,irliran@mail.ru,"Литературный музей Пушкинского Дома является первым и самым крупным национальным общелитературным музеем - в его собрании хранится свыше 300 тысяч единиц изобразительных, документальных и историко-бытовых материалов, относящихся к русской литературе XVIII-XX вв. Музейные залы с окнами на Малую Неву едва вмещают сотую часть фондов.","The Literary museum of the Institute of Russian Literature (the Pushkin House) RAS is the first and the largest national literary museum in Russia. It was founded in 1905. There are more than 200 thousand works of art, documental and everyday-historical things related to Russian literature of 19-20 centuries. Аlso thеre is the greatest collection of personal belongings of Russian writers and poets, such as Alexander Pushkin, Vasily Zhukovsky, Nikolai Gogol, Mikhail Lermontov, Leo Tolstoy, Ivan Turgenev, Fyodor Dostoevsky and others .","пн, вт, ср, чт с 11.00 до 17.00
санитарный день - последняя пт каждого месяца",нет,"59.944697,30.301684",5067847506183.0,7801421363.0
4185,"Мемориальный музей ""Разночинный Петербург""",Memorial museum “Raznochinny Petersburg”!,Городские (комитет по культуре),Россия,"191180, Санкт-Петербург, Большой Казачий пер., 7, кв. 13",Адмиралтейский,+7 (812) 407-52-20,spbmmrp.ru,4075220@gmail.com,"Основная тематика музея - история ""непарадного Петербурга"". Музей берет свое начало в 1924 году с ""уголка Ильича"", созданного в память В.И. Ульянова (Ленина). В 1992 г. музей-квартира В. И. Ленина была реорганизована в Музей истории революционно-демократического движения. В 2006 г. с открытием новых экспозиций музей получил название ""Разночинный Петербург"".","The Museum is situated in historically rich part of Saint-Petersburg on Bolshoy Kazachy lane in the block formed by Fontanca River, Gorohovaya St. and Zagorodny Prospect. This place used to call ""Semenovsky Polk Sloboda"", because Semenovsky Life-Guards regiment had headquarters here from the middle of XVIII to the beginning of XX century. This place was a part of ""Moscow district"" before revolution, now - the part of Admiralty district. The area o is connected with life and activity of many representatives of liberal and democratic movement in Russian society all throw XIX century. Most of them were so called ""raznochintsy"" - people from different social strata's of hierarchical society who got education and earn their livings by some sort of intellectual job.","вт-сб 11.00 до 17.00
санитарный день - последний чт каждого месяца.",нет,"59.923311,30.327465",1027810338489.0,7826106980.0
4186,"Мемориальный музей А.С. Попова Санкт-Петербургского государственного электротехнического университета ""ЛЭТИ"" им. В.И. Ульянова (Ленина)","Memorial Museum of A.S. Popov at the Saint Petersburg Electrotechnical University ""LETI""",федеральные (ведомственные),Россия,"197376, Санкт-Петербург, ул. Профессора Попова, 5, лит. Г",Петроградский,+7 (812) 234-59-00,eltech.ru/ru/universitet/istoriya-universiteta/memorialnyy-muzey-as-popova,lizolotinkina@mail.eltech.ru; radioemc@yandex.ru,"Мемориальный музей-лаборатория А.С. Попова был открыт 27 июня 1948 г. В музее-лаборатории посетители могут проследить жизненный путь А.С. Попова (1859 – 1906), основные события в развитии электро- и радиотехники в России и в мире в конце XIX - начале ХХ вв. В экспозиции демонстрируется более 30 уникальных экспонатов: измерительные приборы, лабораторное оборудование, образцы серийной аппаратуры беспроволочного телеграфирования.","POPOV MEMORIAL MUSEUM  was established in 1967 in the buildings of LETI Electrotechnical University (Leningrad Electrotechnical Institute). It unites the scholar’s laboratory and Popov’s Apartment Museum. The original interiors of the living room, the dining room, and the work study have survived in the five-room Apartment Museum. The flat is located in the House for Lecturers of Electrotechnical Institute designed by architect A. N. Vekshinsky. The collection numbers over 2,000 articles and objects. The museum laboratory was opened in 1948 in the former physical laboratory of the Electrotechnical Institute. The exhibition shows physical instruments, which belonged to Popov, his laboratory equipment, ship apparatuses of wireless telegraphy, and documents.","пн-пт 11:00-16:30
Экскурсии по предварительным заявкам",нет,"59.971064,30.320036",1027806875381.0,7813045402.0
4187,Институт физиологии им. И.П. Павлова Российской академии наук. Мемориальный музей-квартира академика И.П. Павлова,Academician Ivan P. Pavlov's  Memorial Museum-Apartment. Pavlov Institute of Physiology.  Russian Academy of Sciences,федеральные (ведомственные),Россия,"199034, Санкт-Петербург, 7-я линия В.О., 2",Василеостровский,+7 (812) 323-72-34,museum.infran.ru,museum@infran.ru,"Мемориальный музей академика И.П.Павлова был открыт в 1949 г. к 100-летию со дня рождения ученого в квартире, где он прожил последние 18 лет с 1918 по 1936 гг. Полностью сохраненное в оригинальном виде убранство квартиры позволяет не только почувствовать атмосферу павловской домашней жизни, но и дух эпохи, представляя собой подлинный образец быта российской интеллигенции тех лет.",Ivan P. Pavlov Memorial museum was opened in 1949 on the occasion of Pavlov's 100-anniversary. The Museum is located in the apartment in which this great scientist lived for the last 18 years of life? from 1918 to 1936/ The whole interior of this apartment is preserving the atmosphere not only of Pavlov's family but also the entire epoch. It represents an authentic example of the mode of life of Russian intelligentsia of that time.,"пн-пт 11:00-17.00 
только по предварительным заявкам. 
выходные дни - сб, вс

В музее только экскурсионное обслуживание групп (до 15 человек) по предварительным заявкам.
Стоимость экскурсии 3000 рублей.

Стоимость экскурсии для льготных категорий посетителей (школьники, студенты, пенсионеры) 1500 рублей.
Необходимо предъявить подтверждающие документы.

Одиночные посетители могут присоединиться к записавшейся группе, оплатив стоимость входного билета: 200 рублей.

Льготный билет (при наличии подтверждающих документов): 100 рублей.",нет,"59.936638,30.285676",1024700001853.0,4703019919.0
4188,Институт истории естествознания и техники им. С.И. Вавилова Российской академии наук (Санкт-Петербургский филиал). Мемориальный музей-квартира П.К. Козлова,P.K. Kozlov Memorial Museum at the Institute for the History of Science & Technology at the Russian Academy of Sciences (Saint Petersburg Branch).,федеральные (ведомственные),Россия,"191124, Санкт-Петербург, Смольный пр., 6, кв. 32",Центральный,"8 (812) 710-03-50, 8 (812) 577-12-43",http://kozlovmuseum.org/,kozlov.museum@mail.ru ; pkkozlovmuseum@gmail.com,"Пётр Кузьмич Козлов (1863–1935) – путешественник-исследователь Центральной Азии (Монголия, Китай и Тибет), ученик и сподвижник Н.М. Пржевальского, участник шести больших экспедиций, три из которых организовал и возглавлял лично.Музей П.К. Козлова помещается в старом петербургском доходном доме, рядом со Смольным, в просторной семикомнатной квартире.Среди экспонируемых предметов – архивные документы, дневники, письма, книги, географические карты, рисунки и фотографии, личные вещи П.К. Козлова, свидетельствующие о великой эпохе научного освоения Россией центральноазиатского региона.","Petr Kuzmich Kozlov (1863-1935) is one of the Russian pioneer travelers in Central Asia (Mongolia, China and Tibet).he Kozlov Museum is located in the building which is next door to the city administration quarters, the Smolny. It is accommodated in a suite of rooms in the apartment where Kozlov had lived with his wife.The items on display in the museum are mainly the things Kozlov used during his travels, such as wooden trunks, leather bags, various measuring instruments, binoculars, a medical chest, a toilet-case, etc.","вт, чт  11:00-18:00
Экскурсии проводятся по предварительной записи (группы до 12 человек) по телефонам по тел. +7 (812) 710-03-50, +7 (812) 577-12-43

касса до 17:00 

Для взрослых посетителей – 200 рублей
Для пенсионеров, школьников, студентов очной формы обучения – 100 рублей
Стоимость экскурсионного обслуживания:
Для групп до 15 человек по предварительной записи — 1500 рублей (в стоимость включены входные билеты).",нет,"59.944612,30.394462",1027739720623.0,7710026422.0
4189,Метеорологический музей Главной геофизической обсерватории им. А.И. Воейкова,Meteorological Museum  of the A.I. Voyeikov Central Geophysical Observatory,федеральные (ведомственные),Россия,"194021, Санкт-Петербург, ул. Карбышева, 7",Выборгский,+7 (812) 297-43-90,voeikovmgo.ru/index.php?option=com_content&view=article&id=37:meteorologicheskij-muzej-glavnoj-geofizicheskoj-observatorii&catid=20:deyatelnost&Itemid=21&lang=ru,istpo@main.mgo.rssi.ru,"Музей представляет собой коллекцию приборов, применявшихся для метеорологических наблюдений с начала организации систематических наблюдений (с 1843 г.), а также собрание документов, результатов наблюдений и научных обобщений по основным разделам метеорологии и по крупным прикладным исследованиям с разработкой их теоретических обоснований. В коллекции музея представлена галерея портретов учёных Главной геофизической обсерватории, внесших наиболее существенный вклад в развитие метеорологической службы России.",The museum obtains a collection of meteorogical instruments dating back to 1843 and a number of documents of the meteorological studies.,"Экскурсии по Музею проводятся строго по предварительным заявкам 
по факсу  +7 (812) 297-86-61 или электронной почте director@main.mgo.rssi.ru",нет,"59.991745,30.351118",1034700574248.0,4703014660.0
4190,Метрологический музей при ФГУП Всероссийском научно-исследовательском институте метрологии им. Д.И. Менделеева,Meteorological Museum at the National D.I.Mendeleev Meteorology Research Institute,федеральные (ведомственные),Россия,"190005, Санкт-Петербург, Московский пр., 19",Адмиралтейский,+7 (812) 323-96-76; +7 (812) 251-76-01,vniim.ru,info@vniim.ru,"Метрологический музей находится в центре Санкт-Петербурга (Московский пр., 19), в, в старейшем метрологическом учреждении России - Всероссийском научно-исследовательском институте метрологии им. Д.И.Менделеева. Здесь собраны уникальные памятники истории метрологии: отечественные и зарубежные образцовые меры, весы, измерительные приборы, редкие архивные документы и фотоматериалы, литературные источники ХVШ-ХХ вв.","The Metrological Museum of Gosstandart of Russia is located in the oldest metrological establishment of Russia, D.I.Mendeleyev Institute for Metrology, in the center of St.Petersburg (19, Moskovsky prospect). It possesses unique monuments of the history of metrology: Russian and foreign reference measures, balances, measuring instruments, rare archive documents and photos, books of the 18-20-th centuries.","пн-пт 10:00-17:00
Только экскурсионное обслуживание по предварительной договоренности",нет,"59.917118,30.316874",1027810219007.0,7809022120.0
4191,"Музей ""Анна Ахматова. Серебряный век""","Museum ""Anna Akhmatova. The Silver Century""",районные,Россия,"198152, Санкт-Петербург, Автовская ул., 14",Кировский,+7 (812) 785-04-42,akhmatova-museum.ru,mus_akhmatova@mail.ru,"Музей ""Анна Ахматова. Серебряный век"" - первый (и долгое время единственный) в стране музей, посвященный великому русскому поэту А. Ахматовой и семье Гумилевых.
 Экспозиция музея построена в хронологической последовательности и имеет 9 экспозиционных залов: ""Царское"", ""Слепнево"", ""Бродячая собака"", ""Путешествие Н.С. Гумилева"", ""Петербург"", ""Реквием"", ""Комарово"", ""Поэма без героя"", ""Комната памяти"". Музей обладает уникальными экспонатами, единственными портретами как Ахматовой, так и Гумилева, раритетной мебелью, фарфором, скульптурой, книгами с автографами А.А. Ахматовой и книгами из личной библиотеки поэта.","his is the first one in the country and for a long time the only one of its kind, dedicated to the memory of the great Russian poetess Anna Akhmatova. The Museum display is implemented in chronological succession and owns in exposition 6 rooms (""Tsarskoe"", ""Slepnevo"", ""Gumilev"", ""Petersburg 1"", ""Petersburg 2"", ""Poem Without Hero""). The Museum possesses the unique exhibits - portraits as the only one of its kind both of Akhmatova and Gumilev, parity furniture, porcelaine, sculpture, books with Anna Akhmatova's autographes and books from her private collection. The Museum carries on a considerable cultural and educational works destined for all the ages","пн-чт 10:00-18.00
пт 10:00-17:00
сб 10:00-16:30
вс - выходной",нет,"59.868248,30.268239",1037811047340.0,7805003350.0
4192,"Музей ""Искусство веера""","""The Art of Fan"" Museum",частный,Россия,"197022, Санкт-Петербург, Каменноостровский пр., 73/75",Петроградский,+7 (812) 499-49-59;,mus.rusampir.ru,"fanmuseum@fanmuseum.ru, lepyl@fanmuseum.ru","20 июня 2013 года в Санкт-Петербурге открылся музей «Искусство веера». Уникальная коллекция представлена в изысканных дворцовых интерьерах, старейшие экспонаты датируются концом XVII века. В собрании находятся эксклюзивные экземпляры, выполненные первоклассными веерными фирмами, такими как «Дювеллеруа», «Факон», «Александер» и т. п., а также мемориальные образцы, принадлежавшие известным историческим персонам.","The museum was opened  in 2013. It has a unique collection of fans, exhibited in elegant palace interiors. Some of the items date back t the 18th century and ome of them once belonged to renowned historical figures.","вт-вс 11:00-20:00
касса до 19:00",нет,"59.974982,30.304684",1137800003142.0,7813291447.0
4193,"Музей ""Нарвская застава""","""The Outpost of Narva"" Museum",районные,Россия,"198095, Санкт-Петербург, ул. Ивана Черных, 23",Кировский,"+7 (812) 300-83-29, +7 (981) 829-90-95",narvskaya-zastava.ru,narvskayazastava@mail.ru,"Музей образован в июле 1990 года как музей историко-краеведческого направления. Экспозиция музея разделена по хронологическому принципу. Тематика основных экспозиций филиала музея: предыстория территории южного берега Финского залива; история Петергофской дороги как дачного аристократического предместья столицы; жизнь и деятельность княгини Екатерины Романовны Дашковой - выдающегося государственного деятеля XVIII века и история усадьбы ""Кирьяново"".","The Museum was founded in July 1990 as a museum of local history areas. The museum exposition is divided chronologically. Subjects main branch of the museum exhibits: Prehistory of southern coast of the Gulf, the history of the Peterhof road as suburban aristocratic suburbs of the capital, life and work of Princess Catherine Romanovna Dashkova - the outstanding statesman of the XVIII century and the history of the estate ""Kiryanovo; Topic major expositions primary site of the museum (St.. Iv. Black, 23): History of the Narva Gate in the middle of the XVIII century up to 1917, History of the Kirov district of St. Petersburg, including its present borders (1917 - present).","пн-чт 10:00-17:00
пт 10:00-16:00
сб - по предварительной записи
вс - выходной",нет,"59.901558,30.283008",1037811040354.0,7805039099.0
4194,"Музей ""Невская застава""","""Nevsky Outpost"" Museum",районные,Россия,"192174, Санкт-Петербург, Ново-Александровская ул., 23",Невский,+7 (812) 326-18-10,nevzastava.ru,nevazastavamuseum@yandex.ru,"В десяти минутах ходьбы от станции метро ""Пролетарская"", на тихой зеленой Ново-Александровской улице стоит деревянное двухэтажное здание под номером 23. Здесь, в комнате соратника В.И. Ленина - В.А. Шелгунова, собирался марксистский кружок рабочих Невской заставы. Руководил занятиями кружка В.И. Ульянов (Ленин), о чем напоминает мемориальная доска на фасаде здания. В 1967 году в этом доме был открыт народный музей революционной истории Невской заставы. В 1995 году музей стал районным историко-краеведческим музеем ""Невская застава"". Его современная экспозиция посвящена истории Невского района, неразрывно связанной с историей Санкт-Петербурга.","The State Museum «Nevskaja zastava» is in the two-storied wooden building. It's a typical building of the late 19th century. Four worker's families lived here. In 1894-1895 the Marxist worker's group of the Nevsky district gathered here in the room of the Obuhovsky plant's worker - Vasiliy Shelgunov.The memorial plaque on the facade reminds us that Marxist meetings were led by the young lawyer Vladimir Ulianov-Lenin. The museum of the revolutionary history was opened in this building in 1967, on the day of the 100th anniversary of Shelgunov. Since 1995 it became the historical museum of the Nevsky district.","пн-ср 10:00-18:00
чт 12:00-20:00
пт 10:00-17:00
сб 11:00-17:00
вс - выходной 
первая пятница месяца - санитарный день",нет,"59.865623,30.460111",1057813048149.0,7811332169.0
4197,Мемориальный кабинет истории отечественного хореографического образования,Memorial room of history of national dance education,гос. федеральное учреждение,Россия,"191023, Санкт-Петербург, ул. Зодчего Росси, 2",Центральный,+7 (812) 456-07-65 (доб.258),vaganovaacademy.ru/index.php?id=237,museum@vaganovaacademy.ru,"Музей в Ленинградском хореографическом училище имени А.Я.Вагановой был открыт в сентябре 1957 года.Экспозиция прослеживает историю русской балетной школы. Фонды включают рукописный отдел с мемуарами, дневниками, личными автографами, постоянно прирастают книжными раритетами.","The Museum was first opened in 1957. The exposition reflectes the history of Russian ballet school. Rare autograhs, memoirs, diaries and books are among the collections","пн-вс 11:00-17:00
Экскурсионное обслуживание отдельных лиц: 
по предварительной договоренности с ректоратом Академии. 
Экскурсионное обслуживание туристических и иных групп:
не производится.",нет,"59.930403,30.336134",1027809234067.0,7830002092.0
4198,Музей Александровского Лицея Колледжа управления и экономики,Alexandrovsky College of Economics and Administration Museum,ведомственное учреждение,Россия,"197101, Санкт-Петербург, Каменноостровский пр., 21",Петроградский,+7 (812) 232-31-97,allicey.ru/muzej-liceana,allcpk@mail.ru,"Ещё в XIX веке при Лицее существовал музей А.С. Пушкина, где хранились бюсты, портреты и автографы поэта. Позже самые ценные материалы были переданы Пушкинскому дому. Сегодня музей рассказывает об истории лицея.","The first museum was opened in Alexandrovksy  College in the XIXth century. It was dedicated to famous Russian poet, Alexander Pushkin who was the college most renowned graduate. Today the museums tells about the history of the college.",по договоренности +7 (812) 232-31-97,нет,"59.962224,30.316614",1036301104036.0,6321125796.0
4199,Музей антропологии и этнографии им. Петра Великого РАН (Кунсткамера),Peter the Great's Museum of Anthropology and Ethnography (Kunstkamera) Russian Academy of Sciences,федеральные (ведомственные),Россия,"199034, Санкт-Петербург, Университетская наб.,3",Василеостровский,+7 (812) 328-14-12,kunstkamera.ru,info@kunstkamera.ru; order@kunstkamera.ru,"Расположенное на набережной Невы в историческом центре Санкт-Петербурга здание Кунсткамеры является с начала XVIII в. символом Российской академии наук. Музей, основанный по указу Петра I, открыл свои двери для посетителей в 1714 г. Он был создан с целью собирания и исследования раритетов, созданных природой и руками человека. В настоящее время собрание Музея антропологии и этнографии им. Петра Великого (Кунсткамера) Российской академии наук является одним из наиболее полных и интересных в мире. Оно насчитывает более миллиона экспонатов и отражает все многообразие культур народов Старого и Нового Света. Одновременно Музей всегда был и продолжает оставаться одним из крупнейших исследовательских центров по изучению культурного наследия человека, продолжая традиции великих русских этнографов и антропологов XVIII-XX вв.","Located on the banks of the Neva in the center of St.Petersburg, the Kunstkamera has been the symbol of the Russian Academy of Sciences since the early 18th century. Founded to Peter the Great's Decree, the Museum opened to the public in 1714. Its purpose was to collect and examine natural and human curiosities and rarities. Today, collections of Peter the Great's Museum of Anthropology and Ethnography (Kunstkamera) are among the most complete and interesting in the world. These collections contain nearly two million artifacts and reflect the diversity of traditional cultures in the Old and New World. The Museum has always been one of the world's largest centers where human cultural heritage is studied, continuing the traditions of the great Russian cultural and physical anthropologists of the 18 - 20th centuries.","вт-вс 11:00-18:00
кассы до 17:00
пн - выходной
последний вт каждого месяца - санитарный день",нет,"59.941673,30.3049",1037800013206.0,7801023852.0
4200,"Музей Балтийского государственного технического университета ""Военмех"" им. Д.Ф. Устинова","D.F.Ustinov Baltic State Technical University ( ""Voenmeh"" ) Museum",федеральные (ведомственные),Россия,"190005, Санкт-Петербург, 1-я Красноармейская ул., 1",Адмиралтейский,+7 (812) 495-76-55,voenmeh.ru/museum,voenmehmuseum@mail.ru,"В настоящее время музей - это комплекс экспозиций в двух залах, трех портретных галереях, мемориале военной славы БТУ. Фонд насчитывает более 2 тыс. единиц хранения, включая предметы, фотографии, тексты, аудио- и видеозаписи. Среди раритетов – личные вещи маршала Д.Ф. Устинова, космонавта Г.М. Гречко, макеты космических кораблей, ракет, спутников, звездный фотометр, памятные альбомы космонавтов, знамена советского времени, живописное полотно А. Соколова, макет автомата Калашникова, репродукция пасхального яйца Фаберже «Сибирский поезд»",The Museum tells the story of the famous Russian university. A part of the exhibition is dedicated to modern military history.,пн-пт 10:00-16:00,нет,"59.916288,30.315742",1027810328721.0,7809003047.0
4201,Санкт-Петербургский государственный университет. «Музей В.В. Набокова»,The Nabokov Museum,федеральное (ведомственное) некоммерческое учреждение,Россия,"190121, Санкт-Петербург, Б. Морская ул., 47",Адмиралтейский,"+7 (931) 007–79–01 (запись на экскурсию)
+7 (931) 274–43–05 (запись на экскурсию)",nabokov.museums.spbu.ru,nabokovmuseum@spbu.ru,"Музей был открыт к столетию со дня рождения писателя, когда в доме не было почти ни одного предмета, оставшегося со времени жизни Набоковых. Однако за эти годы музей сумел собрать значительную мемориальную коллекцию и большую научную библиотеку, которая всегда открыта для наших посетителей. Сейчас музей занимает первый этаж дома, где сохранились помещения столовой, гостиной и библиотеки. Бывшая «комитетская» комната, в которой исторический интерьер не сохранился, используется как выставочный зал.
spbu.ru/muzey-v-v-nabokova","The Nabokov Museum was opened in 1998 as a non-governmental cultural institution. Since 2008 the museum is a division of the St. Petersburg State University Faculty of Philology and Arts. When the museum was first opened there were very few things in the museum collection. However, over the years the Museum has accumulated a significant collection and a large library which is always open to our visitors.",вт-сб 11:00-17:45,нет,"59.931833,30.305079",1037851035573.0,7826682896.0
4202,Музей военного костюма,The Museum of Military Uniform,частный,Россия,"193036, Санкт-Петербург, 3-я Советская ул., 8, лит. Б",Центральный,+7 (812) 717-08-05,museumvk.ru,museumvk.spb@mail.ru,"Военное обмундирование меняется с каждым правителем, мировой модой и военными системами. По военной форме можно проследить немало интересных исторических событий, в том числе и появление полевой формы, галунные и полевые погоны.За более чем четыре века военный костюм российских военных менялся около двух десятков раз.
Музей военного костюма было решено создать с целью увековечивания памяти героизма и мужества воинов, павших за свое Отечество на многочисленных полях сражений.",The museum was established in order to honour the fallen soldiers who protected their Fatherland. The exposition shows the evalution of Russian military uniform through the ages.,"по договоренности 
вт-вс 13:00-18:00 
пн - выходной",нет,"59.933397,30.36683",1037811033864.0,7805174845.0
4203,Музей гигиены Городского центра медицинской профилактики г. Cанкт-Петербурга,The Hygiene Museum of the Center of the Medical Prophylaxis,ведомственное учреждение,Россия,"191023, Санкт-Петербург, ул. Итальянская, 25",Центральный,+7 (812) 571-42-27; +7 (812) 595-89-08,gcmp.ru,gcmedprof5@zdrav.spb.ru,"Музей гигиены, являясь структурным подразделением ГУЗ ""Городской центр медицинской профилактики"", реализует одно из приоритетных направлений деятельности системы здравоохранения в области охраны здоровья - повышение уровня санитарно-гигиенической культуры и формирование навыков здорового образа жизни у населения Санкт-Петербурга путем популяризации отечественных достижений в области медицины, знакомства с историей развития гигиены, медицины и т.д.; ознакомления с анатомо-физиологическими особенностями человека; пропаганды здорового образа жизни; информирования о состоянии экологической ситуации; профилактики ВИЧ/СПИДа, вредных привычек (наркомания, алкоголизм, курение)","The Biological-scientific museum aimed for the promotion of the healthy, way of life and distribution of the sanitary-hygiene knowledge among the population. There are the following departments in the museum: anatomy and physiology of man prevention of bad habits, AIDS and STDs, mother and child health, sex education. There is also a part of the exhibition which is devoted to the history of the health, care in St. Petersburg. In the halls of the museum there is a unique collection of anatomic exhibits, electrical models and glass man.The museum is located in the historical part of the city of St. Petersburg, has the conference hall and medical library","пн-пт 10:00-18:30 (касса до 18:00)
сб 11:00-18.30 (касса до 18:00) 
вс - выходной",нет,"59.935669,30.337392",1037843066975.0,7825342706.0
4204,Музей городского электротранспорта Санкт-Петербурга,St.Petersburg Museum of Electric Transport,ведомственное учреждение,Россия,"199106, Санкт-Петербург, Средний пр., В.О., 77",Василеостровский,+7 (812) 244-18-20 доб.4910,getmuseum.ru,связь через сайт,"Музей городского электротранспорта создан с 1 июля 2008 г. До этого музеи в трамвайных и троллейбусных парках существовали на общественных началах и самостоятельного статуса не имели.Музей состоит из трёх частей. Первая – это музейные экспозиции по истории трамвайного и троллейбусного движения в городе, работы парков и подвижного состава, работников предприятия. Вторая – ретроподвижной музейный состав (трамвайные вагоны и троллейбусные машины). Третья – документация и материалы музейного хранения.",St.Petersburg Museum of Electric Transport was established in 2008. The exposition  tells about history of electric transport. Retro  tram and trolley cars are also on display.,"ср-вс 10:00-18:00 (касса до 17:00)
пн-вт - выходной

Экскурсии по сб и вс: 10:00; 11:30; 14:00; 16:00.
Самостоятельное посещение музея по билетам: ср-вс, 10:00-17:00",нет,"59.9422,30.243877",1027809259730.0,7830001927.0
4205,"Музей гражданской авиации в Санкт-Петербурге (Объединенный музей авиационного предприятия ""Пулково"")",St.Petersburg Museum of Civil Aviation(Joint Museum of Academy of Civil Aviation and Pulkovo Aviation Enterprise),федеральные (ведомственные),Россия,"196210, Санкт-Петербург, ул. Пилотов, 38",Московский,"+7 (812) 704-15-20, +7 (911) 126-79-79",spbguga.ru/struct/drugie-podrazdeleniya/muzej-grazhdanskoj-aviatsii,museum@spbguga.ru,"Единственный профессионально организованный авиационный музей в Санкт-Петербурге. Хронологические рамки экспозиции - 1885-1999 гг. Тематика экспозиции: воздухоплавание, авиация и авиационное образование в Петербурге 1890-1919 гг. Авиация северо-запада и авиационное образование в Петрограде - Ленинграде 1920-1970 гг. Современная история Академии гражданской авиации и авиапредприятия ""Пулково"" с 1971 г. В структуре музея - храм Св. Илии в память о защитниках отечества и покорителях воздушного океана",This is the only professionaly organized aviation museum in St.Petersburg. The exposition tells about history of civil aviation in Russia and history of aviation education from 1885 to 1999.,"пн-пт 10:00-17:00
только по предварительной договоренности",нет,"59.818617,30.290706",1027700116950.0,7712029250.0
4206,Музей граммофонов и фонографов В.И. Дерябкина,V.I. Deryabkin's Museum of Gramophones and Phonographs,частный,Россия,"197101, Санкт-Петербург, Каменноостровский пр., 32 (вход со стороны сквера)",Петроградский,+7 (812) 346-09-51; +7 (911) 700-00-40,-,info@grammofonspb.ru,"Создатель музея - бывший цирковой артист, клоун и дрессировщик Владимир Дерябкин. ""Если бы собрать все граммофоны, которые выпускались в мире, это была бы красивейшая коллекция"". Эта фраза, однажды прочитанная им в книге, стала смыслом его жизни. Он создал не просто музей, а настоящий культурный центр.","The museum created by a talented circus artist and famous clown Vladimir Deryabkin is not just a beutiful collection of gramophones, but a true cultural center.","пн-вс 10:00-19:00
запись на экскурсию: +7 (911) 960-10-66",нет,"59.966624,30.310748",1037828052602.0,7813097190.0
4207,Музей завода им. М.И. Калинина,"The History Museum of the State Unitary enterprise ""The M.I.Kalininin Works""",ведомственное учреждение,Россия,"187026, Ленинградская область, Тосненский район, г. Никольское, Ульяновское ш., 1 лит. А",,+7 (812) 942-37-05,museum.ru/M1797,office@zik-spb.ru,"В фондах музея хранятся фотографии и текстовые документы по истории завода им. Калинина (бывшего Трубочного завода), которому в 1999 году исполняется 130 лет. Казенное предприятие, основанное на о-ве Голодае, всегда было уникальным. Продукцией завода были трубки, взрыватели, точный измерительный инструмент. Наиболее известная продукция предприятия: довоенные ""черные тарелки"", ""патефоны"", позже - ""Катюши""",The enterprise was founded in 1869 on  the Goloday island. The enterprise submitted to the State Artillery Department. The availability of top-class toolmakers led to formation of the independent toolmaking factory of Sestroretsk. The best desion office of Rdultovsky was formed on the base our factory. At the time of the USSR the factory spesialized in producing of rocket missiles. Since 1980 the enterprise has been renamed into association.,По договоренности,нет,"59.949812,30.268257",1127847058910.0,7801566094.0
